"","OBS","DATE","FLOW","DATE2","YEAR","YEAR_CH","MONTH","MONTH_CH","WEEK","DAY","DAY_MONTH","BASEFLOW","QUICKFLOW","RATIO"
"28",28,"28/01/1994",2.3,1994-01-28,1994,"1994",1,"Jan",4,28,31,2.007,0.293,0.127
"29",29,"29/01/1994",2.3,1994-01-29,1994,"1994",1,"Jan",5,29,31,1.983,0.317,0.138
"30",30,"30/01/1994",2.3,1994-01-30,1994,"1994",1,"Jan",5,30,31,1.957,0.343,0.149
"31",31,"31/01/1994",2.2,1994-01-31,1994,"1994",1,"Jan",5,31,31,1.934,0.266,0.121
"32",32,"01/02/1994",2.2,1994-02-01,1994,"1994",2,"Feb",5,32,28,1.912,0.288,0.131
"33",33,"02/02/1994",2.1,1994-02-02,1994,"1994",2,"Feb",5,33,28,1.893,0.207,0.099
"34",34,"03/02/1994",2.1,1994-02-03,1994,"1994",2,"Feb",5,34,28,1.876,0.224,0.107
"35",35,"04/02/1994",2.1,1994-02-04,1994,"1994",2,"Feb",5,35,28,1.858,0.242,0.115
"36",36,"05/02/1994",2.1,1994-02-05,1994,"1994",2,"Feb",6,36,28,1.838,0.262,0.125
"37",37,"06/02/1994",2.1,1994-02-06,1994,"1994",2,"Feb",6,37,28,1.817,0.283,0.135
"38",38,"07/02/1994",2.1,1994-02-07,1994,"1994",2,"Feb",6,38,28,1.794,0.306,0.146
"39",39,"08/02/1994",2.4,1994-02-08,1994,"1994",2,"Feb",6,39,28,1.768,0.632,0.263
"40",40,"09/02/1994",2.1,1994-02-09,1994,"1994",2,"Feb",6,40,28,1.741,0.359,0.171
"41",41,"10/02/1994",2,1994-02-10,1994,"1994",2,"Feb",6,41,28,1.716,0.284,0.142
"42",42,"11/02/1994",2,1994-02-11,1994,"1994",2,"Feb",6,42,28,1.693,0.307,0.154
"43",43,"12/02/1994",2,1994-02-12,1994,"1994",2,"Feb",7,43,28,1.668,0.332,0.166
"44",44,"13/02/1994",2,1994-02-13,1994,"1994",2,"Feb",7,44,28,1.641,0.359,0.18
"45",45,"14/02/1994",1.9,1994-02-14,1994,"1994",2,"Feb",7,45,28,1.616,0.284,0.149
"46",46,"15/02/1994",1.9,1994-02-15,1994,"1994",2,"Feb",7,46,28,1.593,0.307,0.162
"47",47,"16/02/1994",1.9,1994-02-16,1994,"1994",2,"Feb",7,47,28,1.568,0.332,0.175
"48",48,"17/02/1994",1.8,1994-02-17,1994,"1994",2,"Feb",7,48,28,1.546,0.254,0.141
"49",49,"18/02/1994",1.9,1994-02-18,1994,"1994",2,"Feb",7,49,28,1.525,0.375,0.197
"50",50,"19/02/1994",1.9,1994-02-19,1994,"1994",2,"Feb",8,50,28,1.502,0.398,0.209
"51",51,"20/02/1994",1.8,1994-02-20,1994,"1994",2,"Feb",8,51,28,1.477,0.323,0.179
"52",52,"21/02/1994",1.8,1994-02-21,1994,"1994",2,"Feb",8,52,28,1.451,0.349,0.194
"53",53,"22/02/1994",1.8,1994-02-22,1994,"1994",2,"Feb",8,53,28,1.423,0.377,0.209
"54",54,"23/02/1994",1.8,1994-02-23,1994,"1994",2,"Feb",8,54,28,1.392,0.408,0.227
"55",55,"24/02/1994",1.8,1994-02-24,1994,"1994",2,"Feb",8,55,28,1.359,0.441,0.245
"56",56,"25/02/1994",1.8,1994-02-25,1994,"1994",2,"Feb",8,56,28,1.323,0.477,0.265
"57",57,"26/02/1994",1.8,1994-02-26,1994,"1994",2,"Feb",9,57,28,1.285,0.515,0.286
"58",58,"27/02/1994",1.8,1994-02-27,1994,"1994",2,"Feb",9,58,28,1.243,0.557,0.309
"59",59,"28/02/1994",1.8,1994-02-28,1994,"1994",2,"Feb",9,59,28,1.198,0.602,0.334
"60",60,"01/03/1994",1.8,1994-03-01,1994,"1994",3,"Mar",9,60,31,1.149,0.651,0.362
"61",61,"02/03/1994",1.7,1994-03-02,1994,"1994",3,"Mar",9,61,31,1.1,0.6,0.353
"62",62,"03/03/1994",1.2,1994-03-03,1994,"1994",3,"Mar",9,62,31,1.072,0.128,0.107
"63",63,"04/03/1994",1.5,1994-03-04,1994,"1994",3,"Mar",9,63,31,1.061,0.439,0.293
"64",64,"05/03/1994",1.1,1994-03-05,1994,"1994",3,"Mar",10,64,31,1.053,0.047,0.043
"65",65,"06/03/1994",1.2,1994-03-06,1994,"1994",3,"Mar",10,65,31,1.049,0.151,0.126
"66",66,"07/03/1994",1.6,1994-03-07,1994,"1994",3,"Mar",10,66,31,1.044,0.556,0.348
"67",67,"08/03/1994",1.2,1994-03-08,1994,"1994",3,"Mar",10,67,31,1.037,0.163,0.136
"68",68,"09/03/1994",1.1,1994-03-09,1994,"1994",3,"Mar",10,68,31,1.03,0.07,0.064
"69",69,"10/03/1994",1.1,1994-03-10,1994,"1994",3,"Mar",10,69,31,1.024,0.076,0.069
"70",70,"11/03/1994",1.1,1994-03-11,1994,"1994",3,"Mar",10,70,31,1.018,0.082,0.075
"71",71,"12/03/1994",1.1,1994-03-12,1994,"1994",3,"Mar",11,71,31,1.011,0.089,0.081
"72",72,"13/03/1994",1.1,1994-03-13,1994,"1994",3,"Mar",11,72,31,1.004,0.096,0.087
"73",73,"14/03/1994",1,1994-03-14,1994,"1994",3,"Mar",11,73,31,1,0,0
"74",74,"15/03/1994",1.1,1994-03-15,1994,"1994",3,"Mar",11,74,31,1,0.1,0.091
"75",75,"16/03/1994",1.1,1994-03-16,1994,"1994",3,"Mar",11,75,31,1.001,0.099,0.09
"76",76,"17/03/1994",1.1,1994-03-17,1994,"1994",3,"Mar",11,76,31,1.001,0.099,0.09
"77",77,"18/03/1994",1.1,1994-03-18,1994,"1994",3,"Mar",11,77,31,1.002,0.098,0.089
"78",78,"19/03/1994",1.1,1994-03-19,1994,"1994",3,"Mar",12,78,31,1.002,0.098,0.089
"79",79,"20/03/1994",1.1,1994-03-20,1994,"1994",3,"Mar",12,79,31,1.002,0.098,0.089
"80",80,"21/03/1994",1.1,1994-03-21,1994,"1994",3,"Mar",12,80,31,1.001,0.099,0.09
"81",81,"22/03/1994",1,1994-03-22,1994,"1994",3,"Mar",12,81,31,1,0,0
"82",82,"23/03/1994",1,1994-03-23,1994,"1994",3,"Mar",12,82,31,1,0,0
"83",83,"24/03/1994",1,1994-03-24,1994,"1994",3,"Mar",12,83,31,1,0,0
"84",84,"25/03/1994",1.1,1994-03-25,1994,"1994",3,"Mar",12,84,31,1,0.1,0.091
"85",85,"26/03/1994",1.1,1994-03-26,1994,"1994",3,"Mar",13,85,31,1.001,0.099,0.09
"86",86,"27/03/1994",1.1,1994-03-27,1994,"1994",3,"Mar",13,86,31,1.002,0.098,0.089
"87",87,"28/03/1994",1.1,1994-03-28,1994,"1994",3,"Mar",13,87,31,1.003,0.097,0.088
"88",88,"29/03/1994",1.4,1994-03-29,1994,"1994",3,"Mar",13,88,31,1.005,0.395,0.282
"89",89,"30/03/1994",1.3,1994-03-30,1994,"1994",3,"Mar",13,89,31,1.006,0.294,0.226
"90",90,"31/03/1994",1.1,1994-03-31,1994,"1994",3,"Mar",13,90,31,1.007,0.093,0.085
"91",91,"01/04/1994",1.1,1994-04-01,1994,"1994",4,"Apr",13,91,30,1.007,0.093,0.085
"92",92,"02/04/1994",1.2,1994-04-02,1994,"1994",4,"Apr",14,92,30,1.007,0.193,0.161
"93",93,"03/04/1994",1.1,1994-04-03,1994,"1994",4,"Apr",14,93,30,1,0.1,0.091
"94",94,"04/04/1994",1.1,1994-04-04,1994,"1994",4,"Apr",14,94,30,0.993,0.107,0.097
"95",95,"05/04/1994",1,1994-04-05,1994,"1994",4,"Apr",14,95,30,0.989,0.011,0.011
"96",96,"06/04/1994",1,1994-04-06,1994,"1994",4,"Apr",14,96,30,0.988,0.012,0.012
"97",97,"07/04/1994",1,1994-04-07,1994,"1994",4,"Apr",14,97,30,0.987,0.013,0.013
"98",98,"08/04/1994",1.1,1994-04-08,1994,"1994",4,"Apr",14,98,30,0.986,0.114,0.104
"99",99,"09/04/1994",1,1994-04-09,1994,"1994",4,"Apr",15,99,30,0.985,0.015,0.015
"100",100,"10/04/1994",1,1994-04-10,1994,"1994",4,"Apr",15,100,30,0.984,0.016,0.016
"101",101,"11/04/1994",1,1994-04-11,1994,"1994",4,"Apr",15,101,30,0.983,0.017,0.017
"102",102,"12/04/1994",1,1994-04-12,1994,"1994",4,"Apr",15,102,30,0.981,0.019,0.019
"103",103,"13/04/1994",1,1994-04-13,1994,"1994",4,"Apr",15,103,30,0.98,0.02,0.02
"104",104,"14/04/1994",1,1994-04-14,1994,"1994",4,"Apr",15,104,30,0.978,0.022,0.022
"105",105,"15/04/1994",1,1994-04-15,1994,"1994",4,"Apr",15,105,30,0.976,0.024,0.024
"106",106,"16/04/1994",1,1994-04-16,1994,"1994",4,"Apr",16,106,30,0.974,0.026,0.026
"107",107,"17/04/1994",1,1994-04-17,1994,"1994",4,"Apr",16,107,30,0.972,0.028,0.028
"108",108,"18/04/1994",1,1994-04-18,1994,"1994",4,"Apr",16,108,30,0.97,0.03,0.03
"109",109,"19/04/1994",1,1994-04-19,1994,"1994",4,"Apr",16,109,30,0.967,0.033,0.033
"110",110,"20/04/1994",1,1994-04-20,1994,"1994",4,"Apr",16,110,30,0.965,0.035,0.035
"111",111,"21/04/1994",1,1994-04-21,1994,"1994",4,"Apr",16,111,30,0.962,0.038,0.038
"112",112,"22/04/1994",1,1994-04-22,1994,"1994",4,"Apr",16,112,30,0.959,0.041,0.041
"113",113,"23/04/1994",1,1994-04-23,1994,"1994",4,"Apr",17,113,30,0.955,0.045,0.045
"114",114,"24/04/1994",1.2,1994-04-24,1994,"1994",4,"Apr",17,114,30,0.952,0.248,0.207
"115",115,"25/04/1994",1.1,1994-04-25,1994,"1994",4,"Apr",17,115,30,0.947,0.153,0.139
"116",116,"26/04/1994",1,1994-04-26,1994,"1994",4,"Apr",17,116,30,0.941,0.059,0.059
"117",117,"27/04/1994",1,1994-04-27,1994,"1994",4,"Apr",17,117,30,0.937,0.063,0.063
"118",118,"28/04/1994",1.9,1994-04-28,1994,"1994",4,"Apr",17,118,30,0.93,0.97,0.511
"119",119,"29/04/1994",2.2,1994-04-29,1994,"1994",4,"Apr",17,119,30,0.919,1.281,0.582
"120",120,"30/04/1994",1.4,1994-04-30,1994,"1994",4,"Apr",18,120,30,0.901,0.499,0.356
"121",121,"01/05/1994",1.4,1994-05-01,1994,"1994",5,"May",18,121,31,0.879,0.521,0.372
"122",122,"02/05/1994",1.1,1994-05-02,1994,"1994",5,"May",18,122,31,0.858,0.242,0.22
"123",123,"03/05/1994",1.1,1994-05-03,1994,"1994",5,"May",18,123,31,0.839,0.261,0.237
"124",124,"04/05/1994",1,1994-05-04,1994,"1994",5,"May",18,124,31,0.821,0.179,0.179
"125",125,"05/05/1994",0.9,1994-05-05,1994,"1994",5,"May",18,125,31,0.811,0.089,0.099
"126",126,"06/05/1994",0.9,1994-05-06,1994,"1994",5,"May",18,126,31,0.804,0.096,0.107
"127",127,"07/05/1994",0.8,1994-05-07,1994,"1994",5,"May",19,127,31,0.8,0,0
"128",128,"08/05/1994",0.8,1994-05-08,1994,"1994",5,"May",19,128,31,0.8,0,0
"129",129,"09/05/1994",0.8,1994-05-09,1994,"1994",5,"May",19,129,31,0.8,0,0
"130",130,"10/05/1994",0.9,1994-05-10,1994,"1994",5,"May",19,130,31,0.8,0.1,0.111
"131",131,"11/05/1994",0.8,1994-05-11,1994,"1994",5,"May",19,131,31,0.8,0,0
"132",132,"12/05/1994",1,1994-05-12,1994,"1994",5,"May",19,132,31,0.8,0.2,0.2
"133",133,"13/05/1994",1,1994-05-13,1994,"1994",5,"May",19,133,31,0.801,0.199,0.199
"134",134,"14/05/1994",1.1,1994-05-14,1994,"1994",5,"May",20,134,31,0.804,0.296,0.269
"135",135,"15/05/1994",1.2,1994-05-15,1994,"1994",5,"May",20,135,31,0.807,0.393,0.328
"136",136,"16/05/1994",1.2,1994-05-16,1994,"1994",5,"May",20,136,31,0.812,0.388,0.323
"137",137,"17/05/1994",1,1994-05-17,1994,"1994",5,"May",20,137,31,0.818,0.182,0.182
"138",138,"18/05/1994",1,1994-05-18,1994,"1994",5,"May",20,138,31,0.825,0.175,0.175
"139",139,"19/05/1994",1.1,1994-05-19,1994,"1994",5,"May",20,139,31,0.831,0.269,0.245
"140",140,"20/05/1994",1,1994-05-20,1994,"1994",5,"May",20,140,31,0.836,0.164,0.164
"141",141,"21/05/1994",0.9,1994-05-21,1994,"1994",5,"May",21,141,31,0.841,0.059,0.066
"142",142,"22/05/1994",0.9,1994-05-22,1994,"1994",5,"May",21,142,31,0.845,0.055,0.061
"143",143,"23/05/1994",2.4,1994-05-23,1994,"1994",5,"May",21,143,31,0.852,1.548,0.645
"144",144,"24/05/1994",1.9,1994-05-24,1994,"1994",5,"May",21,144,31,0.863,1.037,0.546
"145",145,"25/05/1994",1.3,1994-05-25,1994,"1994",5,"May",21,145,31,0.878,0.422,0.325
"146",146,"26/05/1994",1.5,1994-05-26,1994,"1994",5,"May",21,146,31,0.895,0.605,0.403
"147",147,"27/05/1994",1.3,1994-05-27,1994,"1994",5,"May",21,147,31,0.912,0.388,0.298
"148",148,"28/05/1994",2,1994-05-28,1994,"1994",5,"May",22,148,31,0.93,1.07,0.535
"149",149,"29/05/1994",1.5,1994-05-29,1994,"1994",5,"May",22,149,31,0.948,0.552,0.368
"150",150,"30/05/1994",3.4,1994-05-30,1994,"1994",5,"May",22,150,31,0.965,2.435,0.716
"151",151,"31/05/1994",2,1994-05-31,1994,"1994",5,"May",22,151,31,0.98,1.02,0.51
"152",152,"01/06/1994",4.2,1994-06-01,1994,"1994",6,"Jun",22,152,30,0.992,3.208,0.764
"153",153,"02/06/1994",2,1994-06-02,1994,"1994",6,"Jun",22,153,30,1.001,0.999,0.5
"154",154,"03/06/1994",1.5,1994-06-03,1994,"1994",6,"Jun",22,154,30,1.007,0.493,0.329
"155",155,"04/06/1994",1.3,1994-06-04,1994,"1994",6,"Jun",23,155,30,1.009,0.291,0.224
"156",156,"05/06/1994",1.2,1994-06-05,1994,"1994",6,"Jun",23,156,30,1.008,0.192,0.16
"157",157,"06/06/1994",1,1994-06-06,1994,"1994",6,"Jun",23,157,30,1,0,0
"158",158,"07/06/1994",1.1,1994-06-07,1994,"1994",6,"Jun",23,158,30,1,0.1,0.091
"159",159,"08/06/1994",1.1,1994-06-08,1994,"1994",6,"Jun",23,159,30,1.001,0.099,0.09
"160",160,"09/06/1994",2,1994-06-09,1994,"1994",6,"Jun",23,160,30,1.003,0.997,0.498
"161",161,"10/06/1994",1.3,1994-06-10,1994,"1994",6,"Jun",23,161,30,1.008,0.292,0.225
"162",162,"11/06/1994",1.1,1994-06-11,1994,"1994",6,"Jun",24,162,30,1.015,0.085,0.077
"163",163,"12/06/1994",1.2,1994-06-12,1994,"1994",6,"Jun",24,163,30,1.022,0.178,0.148
"164",164,"13/06/1994",4.9,1994-06-13,1994,"1994",6,"Jun",24,164,30,1.033,3.867,0.789
"165",165,"14/06/1994",2.2,1994-06-14,1994,"1994",6,"Jun",24,165,30,1.056,1.144,0.52
"166",166,"15/06/1994",1.7,1994-06-15,1994,"1994",6,"Jun",24,166,30,1.085,0.615,0.362
"167",167,"16/06/1994",3.2,1994-06-16,1994,"1994",6,"Jun",24,167,30,1.116,2.084,0.651
"168",168,"17/06/1994",3,1994-06-17,1994,"1994",6,"Jun",24,168,30,1.148,1.852,0.617
"169",169,"18/06/1994",2.3,1994-06-18,1994,"1994",6,"Jun",25,169,30,1.176,1.124,0.489
"170",170,"19/06/1994",1.9,1994-06-19,1994,"1994",6,"Jun",25,170,30,1.202,0.698,0.367
"171",171,"20/06/1994",1.8,1994-06-20,1994,"1994",6,"Jun",25,171,30,1.224,0.576,0.32
"172",172,"21/06/1994",1.7,1994-06-21,1994,"1994",6,"Jun",25,172,30,1.243,0.457,0.269
"173",173,"22/06/1994",1.6,1994-06-22,1994,"1994",6,"Jun",25,173,30,1.26,0.34,0.212
"174",174,"23/06/1994",2,1994-06-23,1994,"1994",6,"Jun",25,174,30,1.274,0.726,0.363
"175",175,"24/06/1994",1.6,1994-06-24,1994,"1994",6,"Jun",25,175,30,1.286,0.314,0.196
"176",176,"25/06/1994",1.6,1994-06-25,1994,"1994",6,"Jun",26,176,30,1.296,0.304,0.19
"177",177,"26/06/1994",1.5,1994-06-26,1994,"1994",6,"Jun",26,177,30,1.305,0.195,0.13
"178",178,"27/06/1994",1.4,1994-06-27,1994,"1994",6,"Jun",26,178,30,1.312,0.088,0.063
"179",179,"28/06/1994",1.9,1994-06-28,1994,"1994",6,"Jun",26,179,30,1.319,0.581,0.306
"180",180,"29/06/1994",1.6,1994-06-29,1994,"1994",6,"Jun",26,180,30,1.328,0.272,0.17
"181",181,"30/06/1994",1.5,1994-06-30,1994,"1994",6,"Jun",26,181,30,1.337,0.163,0.109
"182",182,"01/07/1994",1.5,1994-07-01,1994,"1994",7,"Jul",26,182,31,1.345,0.155,0.103
"183",183,"02/07/1994",1.7,1994-07-02,1994,"1994",7,"Jul",27,183,31,1.354,0.346,0.204
"184",184,"03/07/1994",1.5,1994-07-03,1994,"1994",7,"Jul",27,184,31,1.363,0.137,0.091
"185",185,"04/07/1994",1.9,1994-07-04,1994,"1994",7,"Jul",27,185,31,1.372,0.528,0.278
"186",186,"05/07/1994",1.7,1994-07-05,1994,"1994",7,"Jul",27,186,31,1.382,0.318,0.187
"187",187,"06/07/1994",1.7,1994-07-06,1994,"1994",7,"Jul",27,187,31,1.392,0.308,0.181
"188",188,"07/07/1994",1.6,1994-07-07,1994,"1994",7,"Jul",27,188,31,1.403,0.197,0.123
"189",189,"08/07/1994",1.7,1994-07-08,1994,"1994",7,"Jul",27,189,31,1.414,0.286,0.168
"190",190,"09/07/1994",1.6,1994-07-09,1994,"1994",7,"Jul",28,190,31,1.424,0.176,0.11
"191",191,"10/07/1994",2.2,1994-07-10,1994,"1994",7,"Jul",28,191,31,1.435,0.765,0.348
"192",192,"11/07/1994",2.2,1994-07-11,1994,"1994",7,"Jul",28,192,31,1.447,0.753,0.342
"193",193,"12/07/1994",2.5,1994-07-12,1994,"1994",7,"Jul",28,193,31,1.463,1.037,0.415
"194",194,"13/07/1994",2.1,1994-07-13,1994,"1994",7,"Jul",28,194,31,1.481,0.619,0.295
"195",195,"14/07/1994",2.4,1994-07-14,1994,"1994",7,"Jul",28,195,31,1.501,0.899,0.375
"196",196,"15/07/1994",3.7,1994-07-15,1994,"1994",7,"Jul",28,196,31,1.525,2.175,0.588
"197",197,"16/07/1994",3.1,1994-07-16,1994,"1994",7,"Jul",29,197,31,1.554,1.546,0.499
"198",198,"17/07/1994",3.6,1994-07-17,1994,"1994",7,"Jul",29,198,31,1.59,2.01,0.558
"199",199,"18/07/1994",5.3,1994-07-18,1994,"1994",7,"Jul",29,199,31,1.633,3.667,0.692
"200",200,"19/07/1994",5.7,1994-07-19,1994,"1994",7,"Jul",29,200,31,1.689,4.011,0.704
"201",201,"20/07/1994",4,1994-07-20,1994,"1994",7,"Jul",29,201,31,1.757,2.243,0.561
"202",202,"21/07/1994",3.5,1994-07-21,1994,"1994",7,"Jul",29,202,31,1.825,1.675,0.479
"203",203,"22/07/1994",3.6,1994-07-22,1994,"1994",7,"Jul",29,203,31,1.887,1.713,0.476
"204",204,"23/07/1994",3.1,1994-07-23,1994,"1994",7,"Jul",30,204,31,1.944,1.156,0.373
"205",205,"24/07/1994",2.8,1994-07-24,1994,"1994",7,"Jul",30,205,31,1.996,0.804,0.287
"206",206,"25/07/1994",3,1994-07-25,1994,"1994",7,"Jul",30,206,31,2.042,0.958,0.319
"207",207,"26/07/1994",2.6,1994-07-26,1994,"1994",7,"Jul",30,207,31,2.084,0.516,0.198
"208",208,"27/07/1994",2.7,1994-07-27,1994,"1994",7,"Jul",30,208,31,2.123,0.577,0.214
"209",209,"28/07/1994",5.6,1994-07-28,1994,"1994",7,"Jul",30,209,31,2.163,3.437,0.614
"210",210,"29/07/1994",3.6,1994-07-29,1994,"1994",7,"Jul",30,210,31,2.21,1.39,0.386
"211",211,"30/07/1994",3.1,1994-07-30,1994,"1994",7,"Jul",31,211,31,2.261,0.839,0.271
"212",212,"31/07/1994",3.3,1994-07-31,1994,"1994",7,"Jul",31,212,31,2.308,0.992,0.301
"213",213,"01/08/1994",2.9,1994-08-01,1994,"1994",8,"Aug",31,213,31,2.353,0.547,0.189
"214",214,"02/08/1994",4.9,1994-08-02,1994,"1994",8,"Aug",31,214,31,2.397,2.503,0.511
"215",215,"03/08/1994",3.3,1994-08-03,1994,"1994",8,"Aug",31,215,31,2.443,0.857,0.26
"216",216,"04/08/1994",4,1994-08-04,1994,"1994",8,"Aug",31,216,31,2.491,1.509,0.377
"217",217,"05/08/1994",3.4,1994-08-05,1994,"1994",8,"Aug",31,217,31,2.539,0.861,0.253
"218",218,"06/08/1994",6.2,1994-08-06,1994,"1994",8,"Aug",32,218,31,2.589,3.611,0.582
"219",219,"07/08/1994",4.9,1994-08-07,1994,"1994",8,"Aug",32,219,31,2.647,2.253,0.46
"220",220,"08/08/1994",6.9,1994-08-08,1994,"1994",8,"Aug",32,220,31,2.713,4.187,0.607
"221",221,"09/08/1994",6,1994-08-09,1994,"1994",8,"Aug",32,221,31,2.78,3.22,0.537
"222",222,"10/08/1994",4.8,1994-08-10,1994,"1994",8,"Aug",32,222,31,2.841,1.959,0.408
"223",223,"11/08/1994",4,1994-08-11,1994,"1994",8,"Aug",32,223,31,2.895,1.105,0.276
"224",224,"12/08/1994",4.8,1994-08-12,1994,"1994",8,"Aug",32,224,31,2.942,1.858,0.387
"225",225,"13/08/1994",6,1994-08-13,1994,"1994",8,"Aug",33,225,31,2.983,3.017,0.503
"226",226,"14/08/1994",4.4,1994-08-14,1994,"1994",8,"Aug",33,226,31,3.017,1.383,0.314
"227",227,"15/08/1994",7.5,1994-08-15,1994,"1994",8,"Aug",33,227,31,3.043,4.457,0.594
"228",228,"16/08/1994",6.2,1994-08-16,1994,"1994",8,"Aug",33,228,31,3.062,3.138,0.506
"229",229,"17/08/1994",4.6,1994-08-17,1994,"1994",8,"Aug",33,229,31,3.072,1.528,0.332
"230",230,"18/08/1994",4,1994-08-18,1994,"1994",8,"Aug",33,230,31,3.047,0.953,0.238
"231",231,"19/08/1994",3.7,1994-08-19,1994,"1994",8,"Aug",33,231,31,2.982,0.718,0.194
"232",232,"20/08/1994",6.9,1994-08-20,1994,"1994",8,"Aug",34,232,31,2.919,3.981,0.577
"233",233,"21/08/1994",8.9,1994-08-21,1994,"1994",8,"Aug",34,233,31,2.833,6.067,0.682
"234",234,"22/08/1994",5.1,1994-08-22,1994,"1994",8,"Aug",34,234,31,2.72,2.38,0.467
"235",235,"23/08/1994",4,1994-08-23,1994,"1994",8,"Aug",34,235,31,2.602,1.398,0.35
"236",236,"24/08/1994",3.3,1994-08-24,1994,"1994",8,"Aug",34,236,31,2.517,0.783,0.237
"237",237,"25/08/1994",3.7,1994-08-25,1994,"1994",8,"Aug",34,237,31,2.453,1.247,0.337
"238",238,"26/08/1994",4,1994-08-26,1994,"1994",8,"Aug",34,238,31,2.382,1.618,0.404
"239",239,"27/08/1994",3,1994-08-27,1994,"1994",8,"Aug",35,239,31,2.317,0.683,0.228
"240",240,"28/08/1994",3.8,1994-08-28,1994,"1994",8,"Aug",35,240,31,2.261,1.539,0.405
"241",241,"29/08/1994",3,1994-08-29,1994,"1994",8,"Aug",35,241,31,2.199,0.801,0.267
"242",242,"30/08/1994",2.6,1994-08-30,1994,"1994",8,"Aug",35,242,31,2.151,0.449,0.173
"243",243,"31/08/1994",2.7,1994-08-31,1994,"1994",8,"Aug",35,243,31,2.114,0.586,0.217
"244",244,"01/09/1994",2.5,1994-09-01,1994,"1994",9,"Sep",35,244,30,2.079,0.421,0.168
"245",245,"02/09/1994",2.3,1994-09-02,1994,"1994",9,"Sep",35,245,30,2.053,0.247,0.107
"246",246,"03/09/1994",2.5,1994-09-03,1994,"1994",9,"Sep",36,246,30,2.032,0.468,0.187
"247",247,"04/09/1994",2.3,1994-09-04,1994,"1994",9,"Sep",36,247,30,2.01,0.29,0.126
"248",248,"05/09/1994",2.6,1994-09-05,1994,"1994",9,"Sep",36,248,30,1.986,0.614,0.236
"249",249,"06/09/1994",2.2,1994-09-06,1994,"1994",9,"Sep",36,249,30,1.965,0.235,0.107
"250",250,"07/09/1994",2.2,1994-09-07,1994,"1994",9,"Sep",36,250,30,1.945,0.255,0.116
