"","OBS","DATE","FLOW","DATE2","YEAR","YEAR_CH","MONTH","MONTH_CH","WEEK","DAY","DAY_MONTH"
"49",49,"18/02/1994",1.9,1994-02-18,1994,"1994",2,"Feb",7,49,28
"50",50,"19/02/1994",1.9,1994-02-19,1994,"1994",2,"Feb",8,50,28
"51",51,"20/02/1994",1.8,1994-02-20,1994,"1994",2,"Feb",8,51,28
"52",52,"21/02/1994",1.8,1994-02-21,1994,"1994",2,"Feb",8,52,28
"53",53,"22/02/1994",1.8,1994-02-22,1994,"1994",2,"Feb",8,53,28
"54",54,"23/02/1994",1.8,1994-02-23,1994,"1994",2,"Feb",8,54,28
"55",55,"24/02/1994",1.8,1994-02-24,1994,"1994",2,"Feb",8,55,28
"56",56,"25/02/1994",1.8,1994-02-25,1994,"1994",2,"Feb",8,56,28
"57",57,"26/02/1994",1.8,1994-02-26,1994,"1994",2,"Feb",9,57,28
"58",58,"27/02/1994",1.8,1994-02-27,1994,"1994",2,"Feb",9,58,28
"59",59,"28/02/1994",1.8,1994-02-28,1994,"1994",2,"Feb",9,59,28
"60",60,"01/03/1994",1.8,1994-03-01,1994,"1994",3,"Mar",9,60,31
"61",61,"02/03/1994",1.7,1994-03-02,1994,"1994",3,"Mar",9,61,31
"62",62,"03/03/1994",1.2,1994-03-03,1994,"1994",3,"Mar",9,62,31
"63",63,"04/03/1994",1.5,1994-03-04,1994,"1994",3,"Mar",9,63,31
"64",64,"05/03/1994",1.1,1994-03-05,1994,"1994",3,"Mar",10,64,31
"65",65,"06/03/1994",1.2,1994-03-06,1994,"1994",3,"Mar",10,65,31
"66",66,"07/03/1994",1.6,1994-03-07,1994,"1994",3,"Mar",10,66,31
"67",67,"08/03/1994",1.2,1994-03-08,1994,"1994",3,"Mar",10,67,31
"68",68,"09/03/1994",1.1,1994-03-09,1994,"1994",3,"Mar",10,68,31
"69",69,"10/03/1994",1.1,1994-03-10,1994,"1994",3,"Mar",10,69,31
"70",70,"11/03/1994",1.1,1994-03-11,1994,"1994",3,"Mar",10,70,31
"71",71,"12/03/1994",1.1,1994-03-12,1994,"1994",3,"Mar",11,71,31
"72",72,"13/03/1994",1.1,1994-03-13,1994,"1994",3,"Mar",11,72,31
"73",73,"14/03/1994",1,1994-03-14,1994,"1994",3,"Mar",11,73,31
"74",74,"15/03/1994",1.1,1994-03-15,1994,"1994",3,"Mar",11,74,31
"75",75,"16/03/1994",1.1,1994-03-16,1994,"1994",3,"Mar",11,75,31
"76",76,"17/03/1994",1.1,1994-03-17,1994,"1994",3,"Mar",11,76,31
"77",77,"18/03/1994",1.1,1994-03-18,1994,"1994",3,"Mar",11,77,31
"78",78,"19/03/1994",1.1,1994-03-19,1994,"1994",3,"Mar",12,78,31
"79",79,"20/03/1994",1.1,1994-03-20,1994,"1994",3,"Mar",12,79,31
"80",80,"21/03/1994",1.1,1994-03-21,1994,"1994",3,"Mar",12,80,31
"81",81,"22/03/1994",1,1994-03-22,1994,"1994",3,"Mar",12,81,31
"82",82,"23/03/1994",1,1994-03-23,1994,"1994",3,"Mar",12,82,31
"83",83,"24/03/1994",1,1994-03-24,1994,"1994",3,"Mar",12,83,31
"84",84,"25/03/1994",1.1,1994-03-25,1994,"1994",3,"Mar",12,84,31
"85",85,"26/03/1994",1.1,1994-03-26,1994,"1994",3,"Mar",13,85,31
"86",86,"27/03/1994",1.1,1994-03-27,1994,"1994",3,"Mar",13,86,31
"87",87,"28/03/1994",1.1,1994-03-28,1994,"1994",3,"Mar",13,87,31
"88",88,"29/03/1994",1.4,1994-03-29,1994,"1994",3,"Mar",13,88,31
"89",89,"30/03/1994",1.3,1994-03-30,1994,"1994",3,"Mar",13,89,31
"90",90,"31/03/1994",1.1,1994-03-31,1994,"1994",3,"Mar",13,90,31
"91",91,"01/04/1994",1.1,1994-04-01,1994,"1994",4,"Apr",13,91,30
"92",92,"02/04/1994",1.2,1994-04-02,1994,"1994",4,"Apr",14,92,30
"93",93,"03/04/1994",1.1,1994-04-03,1994,"1994",4,"Apr",14,93,30
"94",94,"04/04/1994",1.1,1994-04-04,1994,"1994",4,"Apr",14,94,30
"95",95,"05/04/1994",1,1994-04-05,1994,"1994",4,"Apr",14,95,30
"96",96,"06/04/1994",1,1994-04-06,1994,"1994",4,"Apr",14,96,30
"97",97,"07/04/1994",1,1994-04-07,1994,"1994",4,"Apr",14,97,30
"98",98,"08/04/1994",1.1,1994-04-08,1994,"1994",4,"Apr",14,98,30
"99",99,"09/04/1994",1,1994-04-09,1994,"1994",4,"Apr",15,99,30
"100",100,"10/04/1994",1,1994-04-10,1994,"1994",4,"Apr",15,100,30
"101",101,"11/04/1994",1,1994-04-11,1994,"1994",4,"Apr",15,101,30
"102",102,"12/04/1994",1,1994-04-12,1994,"1994",4,"Apr",15,102,30
"103",103,"13/04/1994",1,1994-04-13,1994,"1994",4,"Apr",15,103,30
"104",104,"14/04/1994",1,1994-04-14,1994,"1994",4,"Apr",15,104,30
"105",105,"15/04/1994",1,1994-04-15,1994,"1994",4,"Apr",15,105,30
"106",106,"16/04/1994",1,1994-04-16,1994,"1994",4,"Apr",16,106,30
"107",107,"17/04/1994",1,1994-04-17,1994,"1994",4,"Apr",16,107,30
"108",108,"18/04/1994",1,1994-04-18,1994,"1994",4,"Apr",16,108,30
"109",109,"19/04/1994",1,1994-04-19,1994,"1994",4,"Apr",16,109,30
"110",110,"20/04/1994",1,1994-04-20,1994,"1994",4,"Apr",16,110,30
"111",111,"21/04/1994",1,1994-04-21,1994,"1994",4,"Apr",16,111,30
"112",112,"22/04/1994",1,1994-04-22,1994,"1994",4,"Apr",16,112,30
"113",113,"23/04/1994",1,1994-04-23,1994,"1994",4,"Apr",17,113,30
"114",114,"24/04/1994",1.2,1994-04-24,1994,"1994",4,"Apr",17,114,30
"115",115,"25/04/1994",1.1,1994-04-25,1994,"1994",4,"Apr",17,115,30
"116",116,"26/04/1994",1,1994-04-26,1994,"1994",4,"Apr",17,116,30
"117",117,"27/04/1994",1,1994-04-27,1994,"1994",4,"Apr",17,117,30
"118",118,"28/04/1994",1.9,1994-04-28,1994,"1994",4,"Apr",17,118,30
"119",119,"29/04/1994",2.2,1994-04-29,1994,"1994",4,"Apr",17,119,30
"120",120,"30/04/1994",1.4,1994-04-30,1994,"1994",4,"Apr",18,120,30
"121",121,"01/05/1994",1.4,1994-05-01,1994,"1994",5,"May",18,121,31
"122",122,"02/05/1994",1.1,1994-05-02,1994,"1994",5,"May",18,122,31
"123",123,"03/05/1994",1.1,1994-05-03,1994,"1994",5,"May",18,123,31
"124",124,"04/05/1994",1,1994-05-04,1994,"1994",5,"May",18,124,31
"125",125,"05/05/1994",0.9,1994-05-05,1994,"1994",5,"May",18,125,31
"126",126,"06/05/1994",0.9,1994-05-06,1994,"1994",5,"May",18,126,31
"127",127,"07/05/1994",0.8,1994-05-07,1994,"1994",5,"May",19,127,31
"128",128,"08/05/1994",0.8,1994-05-08,1994,"1994",5,"May",19,128,31
"129",129,"09/05/1994",0.8,1994-05-09,1994,"1994",5,"May",19,129,31
"130",130,"10/05/1994",0.9,1994-05-10,1994,"1994",5,"May",19,130,31
"131",131,"11/05/1994",0.8,1994-05-11,1994,"1994",5,"May",19,131,31
"132",132,"12/05/1994",1,1994-05-12,1994,"1994",5,"May",19,132,31
"133",133,"13/05/1994",1,1994-05-13,1994,"1994",5,"May",19,133,31
"134",134,"14/05/1994",1.1,1994-05-14,1994,"1994",5,"May",20,134,31
"135",135,"15/05/1994",1.2,1994-05-15,1994,"1994",5,"May",20,135,31
"136",136,"16/05/1994",1.2,1994-05-16,1994,"1994",5,"May",20,136,31
"137",137,"17/05/1994",1,1994-05-17,1994,"1994",5,"May",20,137,31
"138",138,"18/05/1994",1,1994-05-18,1994,"1994",5,"May",20,138,31
"139",139,"19/05/1994",1.1,1994-05-19,1994,"1994",5,"May",20,139,31
"140",140,"20/05/1994",1,1994-05-20,1994,"1994",5,"May",20,140,31
"141",141,"21/05/1994",0.9,1994-05-21,1994,"1994",5,"May",21,141,31
"142",142,"22/05/1994",0.9,1994-05-22,1994,"1994",5,"May",21,142,31
"143",143,"23/05/1994",2.4,1994-05-23,1994,"1994",5,"May",21,143,31
"144",144,"24/05/1994",1.9,1994-05-24,1994,"1994",5,"May",21,144,31
"145",145,"25/05/1994",1.3,1994-05-25,1994,"1994",5,"May",21,145,31
"146",146,"26/05/1994",1.5,1994-05-26,1994,"1994",5,"May",21,146,31
"147",147,"27/05/1994",1.3,1994-05-27,1994,"1994",5,"May",21,147,31
"148",148,"28/05/1994",2,1994-05-28,1994,"1994",5,"May",22,148,31
"149",149,"29/05/1994",1.5,1994-05-29,1994,"1994",5,"May",22,149,31
"150",150,"30/05/1994",3.4,1994-05-30,1994,"1994",5,"May",22,150,31
"151",151,"31/05/1994",2,1994-05-31,1994,"1994",5,"May",22,151,31
"152",152,"01/06/1994",4.2,1994-06-01,1994,"1994",6,"Jun",22,152,30
"153",153,"02/06/1994",2,1994-06-02,1994,"1994",6,"Jun",22,153,30
"154",154,"03/06/1994",1.5,1994-06-03,1994,"1994",6,"Jun",22,154,30
"155",155,"04/06/1994",1.3,1994-06-04,1994,"1994",6,"Jun",23,155,30
"156",156,"05/06/1994",1.2,1994-06-05,1994,"1994",6,"Jun",23,156,30
"157",157,"06/06/1994",1,1994-06-06,1994,"1994",6,"Jun",23,157,30
"158",158,"07/06/1994",1.1,1994-06-07,1994,"1994",6,"Jun",23,158,30
"159",159,"08/06/1994",1.1,1994-06-08,1994,"1994",6,"Jun",23,159,30
"160",160,"09/06/1994",2,1994-06-09,1994,"1994",6,"Jun",23,160,30
"161",161,"10/06/1994",1.3,1994-06-10,1994,"1994",6,"Jun",23,161,30
"162",162,"11/06/1994",1.1,1994-06-11,1994,"1994",6,"Jun",24,162,30
"163",163,"12/06/1994",1.2,1994-06-12,1994,"1994",6,"Jun",24,163,30
"164",164,"13/06/1994",4.9,1994-06-13,1994,"1994",6,"Jun",24,164,30
"165",165,"14/06/1994",2.2,1994-06-14,1994,"1994",6,"Jun",24,165,30
"166",166,"15/06/1994",1.7,1994-06-15,1994,"1994",6,"Jun",24,166,30
"167",167,"16/06/1994",3.2,1994-06-16,1994,"1994",6,"Jun",24,167,30
"168",168,"17/06/1994",3,1994-06-17,1994,"1994",6,"Jun",24,168,30
"169",169,"18/06/1994",2.3,1994-06-18,1994,"1994",6,"Jun",25,169,30
"170",170,"19/06/1994",1.9,1994-06-19,1994,"1994",6,"Jun",25,170,30
"171",171,"20/06/1994",1.8,1994-06-20,1994,"1994",6,"Jun",25,171,30
"172",172,"21/06/1994",1.7,1994-06-21,1994,"1994",6,"Jun",25,172,30
"173",173,"22/06/1994",1.6,1994-06-22,1994,"1994",6,"Jun",25,173,30
"174",174,"23/06/1994",2,1994-06-23,1994,"1994",6,"Jun",25,174,30
"175",175,"24/06/1994",1.6,1994-06-24,1994,"1994",6,"Jun",25,175,30
"176",176,"25/06/1994",1.6,1994-06-25,1994,"1994",6,"Jun",26,176,30
"177",177,"26/06/1994",1.5,1994-06-26,1994,"1994",6,"Jun",26,177,30
"178",178,"27/06/1994",1.4,1994-06-27,1994,"1994",6,"Jun",26,178,30
"179",179,"28/06/1994",1.9,1994-06-28,1994,"1994",6,"Jun",26,179,30
"180",180,"29/06/1994",1.6,1994-06-29,1994,"1994",6,"Jun",26,180,30
"181",181,"30/06/1994",1.5,1994-06-30,1994,"1994",6,"Jun",26,181,30
"182",182,"01/07/1994",1.5,1994-07-01,1994,"1994",7,"Jul",26,182,31
"183",183,"02/07/1994",1.7,1994-07-02,1994,"1994",7,"Jul",27,183,31
"184",184,"03/07/1994",1.5,1994-07-03,1994,"1994",7,"Jul",27,184,31
"185",185,"04/07/1994",1.9,1994-07-04,1994,"1994",7,"Jul",27,185,31
"186",186,"05/07/1994",1.7,1994-07-05,1994,"1994",7,"Jul",27,186,31
"187",187,"06/07/1994",1.7,1994-07-06,1994,"1994",7,"Jul",27,187,31
"188",188,"07/07/1994",1.6,1994-07-07,1994,"1994",7,"Jul",27,188,31
"189",189,"08/07/1994",1.7,1994-07-08,1994,"1994",7,"Jul",27,189,31
"190",190,"09/07/1994",1.6,1994-07-09,1994,"1994",7,"Jul",28,190,31
"191",191,"10/07/1994",2.2,1994-07-10,1994,"1994",7,"Jul",28,191,31
"192",192,"11/07/1994",2.2,1994-07-11,1994,"1994",7,"Jul",28,192,31
"193",193,"12/07/1994",2.5,1994-07-12,1994,"1994",7,"Jul",28,193,31
"194",194,"13/07/1994",2.1,1994-07-13,1994,"1994",7,"Jul",28,194,31
"195",195,"14/07/1994",2.4,1994-07-14,1994,"1994",7,"Jul",28,195,31
"196",196,"15/07/1994",3.7,1994-07-15,1994,"1994",7,"Jul",28,196,31
"197",197,"16/07/1994",3.1,1994-07-16,1994,"1994",7,"Jul",29,197,31
"198",198,"17/07/1994",3.6,1994-07-17,1994,"1994",7,"Jul",29,198,31
"199",199,"18/07/1994",5.3,1994-07-18,1994,"1994",7,"Jul",29,199,31
"200",200,"19/07/1994",5.7,1994-07-19,1994,"1994",7,"Jul",29,200,31
"201",201,"20/07/1994",4,1994-07-20,1994,"1994",7,"Jul",29,201,31
"202",202,"21/07/1994",3.5,1994-07-21,1994,"1994",7,"Jul",29,202,31
"203",203,"22/07/1994",3.6,1994-07-22,1994,"1994",7,"Jul",29,203,31
"204",204,"23/07/1994",3.1,1994-07-23,1994,"1994",7,"Jul",30,204,31
"205",205,"24/07/1994",2.8,1994-07-24,1994,"1994",7,"Jul",30,205,31
"206",206,"25/07/1994",3,1994-07-25,1994,"1994",7,"Jul",30,206,31
"207",207,"26/07/1994",2.6,1994-07-26,1994,"1994",7,"Jul",30,207,31
"208",208,"27/07/1994",2.7,1994-07-27,1994,"1994",7,"Jul",30,208,31
"209",209,"28/07/1994",5.6,1994-07-28,1994,"1994",7,"Jul",30,209,31
"210",210,"29/07/1994",3.6,1994-07-29,1994,"1994",7,"Jul",30,210,31
"211",211,"30/07/1994",3.1,1994-07-30,1994,"1994",7,"Jul",31,211,31
"212",212,"31/07/1994",3.3,1994-07-31,1994,"1994",7,"Jul",31,212,31
"213",213,"01/08/1994",2.9,1994-08-01,1994,"1994",8,"Aug",31,213,31
"214",214,"02/08/1994",4.9,1994-08-02,1994,"1994",8,"Aug",31,214,31
"215",215,"03/08/1994",3.3,1994-08-03,1994,"1994",8,"Aug",31,215,31
"216",216,"04/08/1994",4,1994-08-04,1994,"1994",8,"Aug",31,216,31
"217",217,"05/08/1994",3.4,1994-08-05,1994,"1994",8,"Aug",31,217,31
"218",218,"06/08/1994",6.2,1994-08-06,1994,"1994",8,"Aug",32,218,31
"219",219,"07/08/1994",4.9,1994-08-07,1994,"1994",8,"Aug",32,219,31
"220",220,"08/08/1994",6.9,1994-08-08,1994,"1994",8,"Aug",32,220,31
"221",221,"09/08/1994",6,1994-08-09,1994,"1994",8,"Aug",32,221,31
"222",222,"10/08/1994",4.8,1994-08-10,1994,"1994",8,"Aug",32,222,31
"223",223,"11/08/1994",4,1994-08-11,1994,"1994",8,"Aug",32,223,31
"224",224,"12/08/1994",4.8,1994-08-12,1994,"1994",8,"Aug",32,224,31
"225",225,"13/08/1994",6,1994-08-13,1994,"1994",8,"Aug",33,225,31
"226",226,"14/08/1994",4.4,1994-08-14,1994,"1994",8,"Aug",33,226,31
"227",227,"15/08/1994",7.5,1994-08-15,1994,"1994",8,"Aug",33,227,31
"228",228,"16/08/1994",6.2,1994-08-16,1994,"1994",8,"Aug",33,228,31
"229",229,"17/08/1994",4.6,1994-08-17,1994,"1994",8,"Aug",33,229,31
"230",230,"18/08/1994",4,1994-08-18,1994,"1994",8,"Aug",33,230,31
"231",231,"19/08/1994",3.7,1994-08-19,1994,"1994",8,"Aug",33,231,31
"232",232,"20/08/1994",6.9,1994-08-20,1994,"1994",8,"Aug",34,232,31
"233",233,"21/08/1994",8.9,1994-08-21,1994,"1994",8,"Aug",34,233,31
"234",234,"22/08/1994",5.1,1994-08-22,1994,"1994",8,"Aug",34,234,31
"235",235,"23/08/1994",4,1994-08-23,1994,"1994",8,"Aug",34,235,31
"236",236,"24/08/1994",3.3,1994-08-24,1994,"1994",8,"Aug",34,236,31
"237",237,"25/08/1994",3.7,1994-08-25,1994,"1994",8,"Aug",34,237,31
"238",238,"26/08/1994",4,1994-08-26,1994,"1994",8,"Aug",34,238,31
"239",239,"27/08/1994",3,1994-08-27,1994,"1994",8,"Aug",35,239,31
"240",240,"28/08/1994",3.8,1994-08-28,1994,"1994",8,"Aug",35,240,31
"241",241,"29/08/1994",3,1994-08-29,1994,"1994",8,"Aug",35,241,31
"242",242,"30/08/1994",2.6,1994-08-30,1994,"1994",8,"Aug",35,242,31
"243",243,"31/08/1994",2.7,1994-08-31,1994,"1994",8,"Aug",35,243,31
"244",244,"01/09/1994",2.5,1994-09-01,1994,"1994",9,"Sep",35,244,30
"245",245,"02/09/1994",2.3,1994-09-02,1994,"1994",9,"Sep",35,245,30
"246",246,"03/09/1994",2.5,1994-09-03,1994,"1994",9,"Sep",36,246,30
"247",247,"04/09/1994",2.3,1994-09-04,1994,"1994",9,"Sep",36,247,30
"248",248,"05/09/1994",2.6,1994-09-05,1994,"1994",9,"Sep",36,248,30
"249",249,"06/09/1994",2.2,1994-09-06,1994,"1994",9,"Sep",36,249,30
"250",250,"07/09/1994",2.2,1994-09-07,1994,"1994",9,"Sep",36,250,30
"251",251,"08/09/1994",2.1,1994-09-08,1994,"1994",9,"Sep",36,251,30
"252",252,"09/09/1994",2.2,1994-09-09,1994,"1994",9,"Sep",36,252,30
"253",253,"10/09/1994",2,1994-09-10,1994,"1994",9,"Sep",37,253,30
"254",254,"11/09/1994",1.9,1994-09-11,1994,"1994",9,"Sep",37,254,30
"255",255,"12/09/1994",4.2,1994-09-12,1994,"1994",9,"Sep",37,255,30
"256",256,"13/09/1994",3.6,1994-09-13,1994,"1994",9,"Sep",37,256,30
"257",257,"14/09/1994",3.1,1994-09-14,1994,"1994",9,"Sep",37,257,30
"258",258,"15/09/1994",2.4,1994-09-15,1994,"1994",9,"Sep",37,258,30
"259",259,"16/09/1994",2.2,1994-09-16,1994,"1994",9,"Sep",37,259,30
"260",260,"17/09/1994",2.1,1994-09-17,1994,"1994",9,"Sep",38,260,30
"261",261,"18/09/1994",2.4,1994-09-18,1994,"1994",9,"Sep",38,261,30
"262",262,"19/09/1994",2,1994-09-19,1994,"1994",9,"Sep",38,262,30
"263",263,"20/09/1994",2,1994-09-20,1994,"1994",9,"Sep",38,263,30
"264",264,"21/09/1994",1.8,1994-09-21,1994,"1994",9,"Sep",38,264,30
"265",265,"22/09/1994",1.9,1994-09-22,1994,"1994",9,"Sep",38,265,30
"266",266,"23/09/1994",2.2,1994-09-23,1994,"1994",9,"Sep",38,266,30
"267",267,"24/09/1994",7.2,1994-09-24,1994,"1994",9,"Sep",39,267,30
"268",268,"25/09/1994",5.1,1994-09-25,1994,"1994",9,"Sep",39,268,30
"269",269,"26/09/1994",3.4,1994-09-26,1994,"1994",9,"Sep",39,269,30
"270",270,"27/09/1994",2.8,1994-09-27,1994,"1994",9,"Sep",39,270,30
"271",271,"28/09/1994",3.6,1994-09-28,1994,"1994",9,"Sep",39,271,30
"272",272,"29/09/1994",3.7,1994-09-29,1994,"1994",9,"Sep",39,272,30
"273",273,"30/09/1994",2.9,1994-09-30,1994,"1994",9,"Sep",39,273,30
"274",274,"01/10/1994",4.4,1994-10-01,1994,"1994",10,"Oct",40,274,31
"275",275,"02/10/1994",3.4,1994-10-02,1994,"1994",10,"Oct",40,275,31
"276",276,"03/10/1994",2.9,1994-10-03,1994,"1994",10,"Oct",40,276,31
"277",277,"04/10/1994",2.6,1994-10-04,1994,"1994",10,"Oct",40,277,31
"278",278,"05/10/1994",2.8,1994-10-05,1994,"1994",10,"Oct",40,278,31
"279",279,"06/10/1994",7.8,1994-10-06,1994,"1994",10,"Oct",40,279,31
"280",280,"07/10/1994",4.2,1994-10-07,1994,"1994",10,"Oct",40,280,31
"281",281,"08/10/1994",5.2,1994-10-08,1994,"1994",10,"Oct",41,281,31
"282",282,"09/10/1994",6.4,1994-10-09,1994,"1994",10,"Oct",41,282,31
"283",283,"10/10/1994",10.7,1994-10-10,1994,"1994",10,"Oct",41,283,31
"284",284,"11/10/1994",11.4,1994-10-11,1994,"1994",10,"Oct",41,284,31
"285",285,"12/10/1994",10.9,1994-10-12,1994,"1994",10,"Oct",41,285,31
"286",286,"13/10/1994",8.2,1994-10-13,1994,"1994",10,"Oct",41,286,31
"287",287,"14/10/1994",6.2,1994-10-14,1994,"1994",10,"Oct",41,287,31
"288",288,"15/10/1994",8.9,1994-10-15,1994,"1994",10,"Oct",42,288,31
"289",289,"16/10/1994",5.9,1994-10-16,1994,"1994",10,"Oct",42,289,31
"290",290,"17/10/1994",5.1,1994-10-17,1994,"1994",10,"Oct",42,290,31
"291",291,"18/10/1994",4.5,1994-10-18,1994,"1994",10,"Oct",42,291,31
"292",292,"19/10/1994",4,1994-10-19,1994,"1994",10,"Oct",42,292,31
"293",293,"20/10/1994",3.6,1994-10-20,1994,"1994",10,"Oct",42,293,31
"294",294,"21/10/1994",3.4,1994-10-21,1994,"1994",10,"Oct",42,294,31
"295",295,"22/10/1994",3.2,1994-10-22,1994,"1994",10,"Oct",43,295,31
"296",296,"23/10/1994",3.1,1994-10-23,1994,"1994",10,"Oct",43,296,31
"297",297,"24/10/1994",2.8,1994-10-24,1994,"1994",10,"Oct",43,297,31
"298",298,"25/10/1994",2.7,1994-10-25,1994,"1994",10,"Oct",43,298,31
"299",299,"26/10/1994",2.5,1994-10-26,1994,"1994",10,"Oct",43,299,31
"300",300,"27/10/1994",2.4,1994-10-27,1994,"1994",10,"Oct",43,300,31
"301",301,"28/10/1994",2.3,1994-10-28,1994,"1994",10,"Oct",43,301,31
"302",302,"29/10/1994",2.2,1994-10-29,1994,"1994",10,"Oct",44,302,31
"303",303,"30/10/1994",2.2,1994-10-30,1994,"1994",10,"Oct",44,303,31
"304",304,"31/10/1994",2.4,1994-10-31,1994,"1994",10,"Oct",44,304,31
"305",305,"01/11/1994",2.5,1994-11-01,1994,"1994",11,"Nov",44,305,30
"306",306,"02/11/1994",2.1,1994-11-02,1994,"1994",11,"Nov",44,306,30
"307",307,"03/11/1994",2.4,1994-11-03,1994,"1994",11,"Nov",44,307,30
"308",308,"04/11/1994",3.5,1994-11-04,1994,"1994",11,"Nov",44,308,30
"309",309,"05/11/1994",2.9,1994-11-05,1994,"1994",11,"Nov",45,309,30
"310",310,"06/11/1994",6.6,1994-11-06,1994,"1994",11,"Nov",45,310,30
"311",311,"07/11/1994",5.2,1994-11-07,1994,"1994",11,"Nov",45,311,30
"312",312,"08/11/1994",4,1994-11-08,1994,"1994",11,"Nov",45,312,30
"313",313,"09/11/1994",6.3,1994-11-09,1994,"1994",11,"Nov",45,313,30
"314",314,"10/11/1994",15.4,1994-11-10,1994,"1994",11,"Nov",45,314,30
"315",315,"11/11/1994",7.3,1994-11-11,1994,"1994",11,"Nov",45,315,30
"316",316,"12/11/1994",5.4,1994-11-12,1994,"1994",11,"Nov",46,316,30
"317",317,"13/11/1994",5.4,1994-11-13,1994,"1994",11,"Nov",46,317,30
"318",318,"14/11/1994",4.2,1994-11-14,1994,"1994",11,"Nov",46,318,30
"319",319,"15/11/1994",3.9,1994-11-15,1994,"1994",11,"Nov",46,319,30
